repo_url,repo_name,chart_path,values_files,helm_command,error_message
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-mta.yaml:67:23: executing ""bookshop/templates/cap-operator-cros-mta.yaml"" at <.Values.workloads.authorReadingsApprouter.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-mta.yaml:67:23: executing ""bookshop/templates/cap-operator-cros-mta.yaml"" at <.Values.workloads.authorReadingsApprouter.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-mta.yaml:67:23: executing ""bookshop/templates/cap-operator-cros-mta.yaml"" at <.Values.workloads.authorReadingsApprouter.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-mta.yaml:67:23: executing ""bookshop/templates/cap-operator-cros-mta.yaml"" at <.Values.workloads.authorReadingsApprouter.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-mta.yaml:67:23: executing ""bookshop/templates/cap-operator-cros-mta.yaml"" at <.Values.workloads.authorReadingsApprouter.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-mta.yaml:67:23: executing ""bookshop/templates/cap-operator-cros-mta.yaml"" at <.Values.workloads.authorReadingsApprouter.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-mta.yaml:67:23: executing ""bookshop/templates/cap-operator-cros-mta.yaml"" at <.Values.workloads.authorReadingsApprouter.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-mta.yaml:67:23: executing ""bookshop/templates/cap-operator-cros-mta.yaml"" at <.Values.workloads.authorReadingsApprouter.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-svc-ias.yaml:95:23: executing ""bookshop/templates/cap-operator-cros-svc-ias.yaml"" at <.Values.workloads.amsDeployer.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-svc-ias.yaml:95:23: executing ""bookshop/templates/cap-operator-cros-svc-ias.yaml"" at <.Values.workloads.amsDeployer.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-svc-ias.yaml:95:23: executing ""bookshop/templates/cap-operator-cros-svc-ias.yaml"" at <.Values.workloads.amsDeployer.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-svc-ias.yaml:95:23: executing ""bookshop/templates/cap-operator-cros-svc-ias.yaml"" at <.Values.workloads.amsDeployer.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-svc-ias.yaml:95:23: executing ""bookshop/templates/cap-operator-cros-svc-ias.yaml"" at <.Values.workloads.amsDeployer.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-svc-ias.yaml:95:23: executing ""bookshop/templates/cap-operator-cros-svc-ias.yaml"" at <.Values.workloads.amsDeployer.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-svc-ias.yaml:95:23: executing ""bookshop/templates/cap-operator-cros-svc-ias.yaml"" at <.Values.workloads.amsDeployer.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-svc-ias.yaml:95:23: executing ""bookshop/templates/cap-operator-cros-svc-ias.yaml"" at <.Values.workloads.amsDeployer.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-mta.yaml:67:23: executing ""bookshop/templates/cap-operator-cros-mta.yaml"" at <.Values.workloads.authorReadingsApprouter.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-mta.yaml:67:23: executing ""bookshop/templates/cap-operator-cros-mta.yaml"" at <.Values.workloads.authorReadingsApprouter.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-mta.yaml:67:23: executing ""bookshop/templates/cap-operator-cros-mta.yaml"" at <.Values.workloads.authorReadingsApprouter.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-mta.yaml:67:23: executing ""bookshop/templates/cap-operator-cros-mta.yaml"" at <.Values.workloads.authorReadingsApprouter.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-mta.yaml:67:23: executing ""bookshop/templates/cap-operator-cros-mta.yaml"" at <.Values.workloads.authorReadingsApprouter.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
https://github.com/cap-js/cap-operator-plugin,cap-js/cap-operator-plugin,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart,cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml | cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,helm template test cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\runtime-values.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-ias.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified-svc.yaml -f cloned\cap-js__cap-operator-plugin\test\files\expectedConfigurableTemplatesChart\values-modified.yaml,"Error: template: bookshop/templates/cap-operator-cros-mta.yaml:67:23: executing ""bookshop/templates/cap-operator-cros-mta.yaml"" at <.Values.workloads.authorReadingsApprouter.image>: nil pointer evaluating interface {}.image

Use --debug flag to render out invalid YAML
"
